Sample	Date	C	N (%)	O	Na	Mg	Al (PPM)	Si (PPM)	P	S	Cl	K (PPM)	Ca (PPM)	Mn (PPM)	Fe (PPM)	Cu (PPM)	As (PPM)	C (Int)	N (Int)	O (Int)	Na (Int)	Mg (Int)	Al (Int)	Si (Int)	P (Int)	S (Int)	Cl (Int)	K (Int)	Ca (Int)	Mn (Int)	Fe (Int)	Cu (Int)	As (Int)	
COM001	04.12.2019 10:16:35	44496268,75 %	12,23	1,36 %	17 PPM	126 PPM	7	3	0,13 %	357 PPM	25 PPM	2	39	6	4	0	0	58,0957	0,4380	2,9889	0,4874	1,7960	32,3646	5,6097	0,3945	1,0494	1,0383	0,5360	6,6932	0,2218	2,3121	0,9362	1,1300	
COM002	04.12.2019 10:28:50	41322146,88 %	12,04	1,53 %	39 PPM	308 PPM	9	11	0,19 %	523 PPM	44 PPM	5	93	7	9	0	0	54,2361	0,4313	3,3708	1,1547	4,3948	37,2398	17,5392	0,5557	1,5380	1,8231	1,6871	15,9978	0,2655	4,8717	0,9900	1,1368	
COM003	04.12.2019 10:41:07	45261415,63 %	12,44	1,31 %	14 PPM	88 PPM	8	2	0,13 %	337 PPM	30 PPM	1	15	6	2	0	0	59,0261	0,4458	2,8878	0,4234	1,2589	33,6267	2,6512	0,3778	0,9904	1,2301	0,3127	2,5690	0,2036	1,2718	0,9044	1,1430	
COM004	09.12.2019 10:31:11	0 PPM	6,33	6,49 %	0,37 %	0,10 %	18	421	784 PPM	588 PPM	179 PPM	421	429	43	20	3	2	0,6732	0,2268	14,2990	107,0343	14,3273	78,0748	678,8313	0,2343	1,7287	7,4363	136,3577	74,1335	1,5471	10,4911	6,1234	4,7973	
COM005	09.12.2019 10:42:29	0 PPM	6,43	6,41 %	0,37 %	0,11 %	18	416	851 PPM	741 PPM	355 PPM	412	424	43	20	3	2	0,6898	0,2303	14,1138	107,2324	15,6295	77,6449	670,3665	0,2542	2,1778	14,7710	133,4297	73,2044	1,5635	10,3545	6,2003	4,8308	
COM006	09.12.2019 10:53:21	0 PPM	6,37	6,54 %	0,37 %	889 PPM	18	423	774 PPM	510 PPM	210 PPM	416	404	43	18	3	2	0,5193	0,2283	14,4174	107,3082	12,6918	78,3077	681,2928	0,2312	1,4988	8,7548	134,7781	69,7336	1,5514	9,3170	6,1825	4,8365	
COM007	09.12.2019 11:05:37	45575578,13 %	12,60	1,30 %	20 PPM	81 PPM	7	2	0,13 %	332 PPM	26 PPM	1	18	6	3	0	0	59,4081	0,4512	2,8748	0,5970	1,1530	31,8134	3,5226	0,3870	0,9754	1,0996	0,3453	3,0616	0,2154	1,6794	0,9053	1,1640	
COM008	09.12.2019 11:17:52	45356481,25 %	12,46	1,31 %	21 PPM	94 PPM	8	2	0,13 %	349 PPM	25 PPM	1	18	6	3	0	0	59,1417	0,4463	2,8769	0,6049	1,3433	32,5224	2,9757	0,3923	1,0278	1,0308	0,3377	3,1299	0,2175	1,4925	0,8511	1,0918	
COM009	09.12.2019 11:30:12	45978687,50 %	12,37	1,29 %	23 PPM	63 PPM	7	1	0,13 %	323 PPM	34 PPM	1	6	6	2	0	0	59,8983	0,4432	2,8390	0,6848	0,9063	31,1494	1,8760	0,3801	0,9509	1,4341	0,2533	1,0190	0,2059	1,1234	0,9187	1,1540	
COM010	09.12.2019 11:41:06	0 PPM	6,40	6,50 %	0,37 %	0,10 %	18	422	789 PPM	687 PPM	212 PPM	419	410	43	23	3	2	0,6498	0,2295	14,3225	107,4832	14,7198	78,4074	679,9182	0,2358	2,0198	8,8250	135,7075	70,8004	1,5652	11,9047	6,1454	4,7874	
